,AM.AD.1,AM.AD.2,AM.AD.3,AM.AD.4,DA.AD.1,DA.AD.1T,DA.AD.2,DA.AD.3,DA.AD.3T,DA.AD.4,ES.AD.1,ES.AD.2,ES.AD.3,ES.AD.4,FR.AD.1,FR.AD.2,FR.AD.3,FR.AD.4,FR.AD.5,FR.AD.6,FR.AD.7,FR.AD.8,IT.AD.1,IT.AD.2,IT.AD.3,IT.AD.4,IT.AD.5,IT.AD.6,JP.AD.1,JP.AD.2,JP.AD.3,JP.AD.4,JP.AD.5,JP.AD.6,JP.AD.7,JP.AD.8,JP.AD.9,JP.IN.1,JP.IN.2,JP.IN.3,JP.IN.4,MH0001,MH0002,MH0003,MH0004,MH0005,MH0006,MH0007,MH0008,MH0009,MH0010,MH0011,MH0012,MH0013,MH0014,MH0015,MH0016,MH0017,MH0018,MH0019,MH0020,MH0021,MH0022,MH0023,MH0024,MH0025,MH0026,MH0027,MH0028,MH0030,MH0031,MH0032,MH0033,MH0034,MH0035,MH0036,MH0037,MH0038,MH0039,MH0040,MH0041,MH0042,MH0043,MH0044,MH0045,MH0046,MH0047,MH0048,MH0049,MH0050,MH0051,MH0052,MH0053,MH0054,MH0055,MH0056,MH0057,MH0058,MH0059,MH0060,MH0061,MH0062,MH0063,MH0064,MH0065,MH0066,MH0067,MH0068,MH0069,MH0070,MH0071,MH0072,MH0073,MH0074,MH0075,MH0076,MH0077,MH0078,MH0079,MH0080,MH0081,MH0082,MH0083,MH0084,MH0085,MH0086,TS1_V2,TS10_V2,TS100_V2,TS101.2_V2,TS103_V2,TS104_V2,TS105_V2,TS106_V2,TS107_V2,TS109_V2,TS11_V2,TS110_V2,TS111_V2,TS115_V2,TS116_V2,TS117_V2,TS118_V2,TS119_V2,TS12_V2,TS120_V2,TS124_V2,TS125_V2,TS126_V2,TS127_V2,TS128_V2,TS129_V2,TS13_V2,TS130_V2,TS131_V2,TS132_V2,TS133_V2,TS134_V2,TS135_V2,TS136_V2,TS137_V2,TS138_V2,TS139_V2,TS14_V2,TS140_V2,TS141_V2,TS142_V2,TS143_V2,TS144_V2,TS145_V2,TS146_V2,TS147_V2,TS148_V2,TS149_V2,TS15_V2,TS150_V2,TS151_V2,TS152_V2,TS153_V2,TS154.2_V2,TS155_V2,TS156_V2,TS16_V2,TS160_V2,TS161_V2,TS162_V2,TS163_V2,TS164_V2,TS165_V2,TS166_V2,TS167_V2,TS168_V2,TS169_V2,TS17_V2,TS170_V2,TS178_V2,TS179_V2,TS180_V2,TS181_V2,TS182_V2,TS183_V2,TS184_V2,TS185_V2,TS186_V2,TS19_V2,TS190_V2,TS191_V2,TS192_V2,TS193_V2,TS194_V2,TS195_V2,TS2_V2,TS20_V2,TS21_V2,TS22_V2,TS23_V2,TS25_V2,TS26_V2,TS27_V2,TS28_V2,TS29_V2,TS3_V2,TS30_V2,TS31_V2,TS32_V2,TS33_V2,TS34_V2,TS35_V2,TS37_V2,TS38_V2,TS39_V2,TS4_V2,TS43_V2,TS44_V2,TS49_V2,TS5_V2,TS50_V2,TS51_V2,TS55_V2,TS56_V2,TS57_V2,TS6_V2,TS61_V2,TS62_V2,TS63_V2,TS64_V2,TS65_V2,TS66_V2,TS67_V2,TS68_V2,TS69_V2,TS7_V2,TS70_V2,TS71_V2,TS72_V2,TS73_V2,TS74_V2,TS75_V2,TS76_V2,TS77_V2,TS78_V2,TS8_V2,TS82_V2,TS83_V2,TS84_V2,TS85_V2,TS86_V2,TS87_V2,TS88_V2,TS89_V2,TS9_V2,TS90_V2,TS91_V2,TS92_V2,TS94_V2,TS95_V2,TS96_V2,TS97_V2,TS98_V2,TS99.2_V2
Nocardia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,49,40,39,24,48,38,52,75,18,64,65,27,55,67,18,19,10,28,38,60,17,19,37,26,20,57,13,14,28,17,17,17,39,18,17,11,41,67,57,11,20,22,16,44,60,36,22,74,200,49,32,92,17,34,24,40,45,133,46,82,59,35,20,175,13,74,31,25,32,14,20,94,47,63,32,21,91,21,44,26,131,20,36,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoxybacillus,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,20,31,25,34,43,68,62,28,38,34,44,48,61,26,21,24,26,39,77,21,18,33,21,27,51,29,24,41,23,15,51,63,15,6,18,23,64,24,10,15,23,32,30,22,33,12,39,66,41,40,58,15,18,21,36,32,62,23,16,76,31,35,60,30,37,46,56,19,29,33,34,40,64,38,22,159,31,66,53,57,26,61,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodococcus,0,0,0,0,15,1,0,18,0,9,7,0,0,0,5,0,0,3,13,7,0,0,5,0,33,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,49,105,94,92,73,123,89,127,209,44,160,174,60,148,165,55,54,33,72,103,162,47,48,88,56,63,147,33,38,73,48,46,53,110,52,42,32,106,174,137,30,53,57,49,129,128,94,64,172,474,145,91,255,49,75,65,107,108,340,118,153,161,83,51,454,30,149,72,73,73,36,55,258,128,157,72,45,226,60,111,67,328,51,93,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus,0,1,9,0,6,7,11,0,12,4,0,4,1,0,0,0,4,0,6,0,0,0,0,10,0,0,2,0,0,3,0,2,13,0,0,0,0,0,0,0,1,342,332,288,399,360,441,567,923,831,401,578,487,545,594,801,356,259,273,353,519,693,239,247,442,226,374,740,277,288,457,281,238,419,836,205,91,197,295,720,393,127,186,345,440,370,284,375,166,504,906,551,405,638,188,260,238,468,427,906,314,281,803,420,373,705,277,478,530,685,212,409,460,468,552,744,432,293,1222,335,823,600,716,387,476,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stackebrandtia,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,38,37,24,47,30,46,75,17,60,69,24,59,64,23,21,10,25,41,64,16,18,38,24,20,56,13,15,27,19,18,20,38,17,16,11,38,62,47,9,21,21,15,46,56,32,25,64,159,42,28,87,16,30,25,42,42,127,40,73,56,34,20,152,13,56,29,26,30,11,13,86,45,56,30,16,82,19,47,27,122,16,34,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,11,11,13,20,18,20,15,19,39,9,24,33,9,23,27,9,10,9,11,20,29,10,8,15,9,9,26,6,9,20,6,9,15,17,9,5,7,14,29,21,6,7,11,12,21,14,22,8,27,47,27,15,30,9,10,16,17,14,59,14,19,34,13,10,44,8,27,14,15,12,10,11,28,25,30,12,8,27,10,18,12,33,10,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exiguobacterium,5,0,2,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,81,84,79,62,90,104,153,193,59,119,126,61,164,140,72,53,37,51,109,133,42,41,86,40,67,137,44,51,90,47,46,74,153,39,24,36,62,161,91,26,37,72,84,90,66,85,38,111,210,139,114,139,36,54,46,98,104,263,90,103,170,83,63,199,46,131,106,116,51,66,91,99,112,140,105,85,273,55,151,111,203,65,108,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kytococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,29,0,27,75,66,62,42,69,62,75,121,28,110,111,43,94,114,29,33,15,39,52,82,26,28,58,42,34,92,23,24,45,31,26,29,58,25,24,15,56,106,85,16,32,40,26,72,80,53,48,104,239,101,45,143,24,46,33,64,68,206,87,129,94,59,33,272,18,98,50,32,51,17,41,139,74,102,44,28,144,29,76,44,203,27,69,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geobacillus,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,147,134,154,118,172,220,234,314,105,234,257,124,285,309,109,96,65,111,178,206,88,75,157,101,106,288,71,72,124,84,74,124,228,73,50,71,114,273,145,44,84,103,107,144,172,168,58,251,404,211,158,282,65,109,114,163,148,487,166,151,301,139,98,407,57,237,185,165,101,105,129,190,205,261,114,75,507,102,247,165,435,106,201,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,49,165,123,117,81,126,121,163,204,63,185,201,89,173,225,56,56,28,74,90,135,46,54,92,90,62,198,42,39,82,50,47,44,103,41,42,25,97,216,145,27,54,58,41,127,194,89,78,194,474,187,91,262,47,87,74,108,124,371,162,240,178,103,64,511,40,202,98,68,83,28,59,225,139,202,83,67,298,57,138,81,341,43,103,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia,0,6,0,0,0,9,6,0,6,10,0,0,0,0,7,24,0,8,0,41,3,0,9,6,6,15,36,22,0,16,562,0,148,12,0,0,0,51,2,18,259,50,116,721,181,82,115,101,119,284,62,288,213,58,175,240,61,69,36,60,96,202,47,42,194,52,45,165,29,96,108,89,53,65,152,44,126,38,74,167,327,36,85,86,84,101,91,83,70,142,358,356,108,265,76,71,48,106,184,274,239,115,192,176,172,303,49,124,120,158,94,95,312,173,162,337,91,256,290,48,134,83,311,47,88,727,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Xylanimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,81,68,57,49,75,69,92,138,27,103,109,43,98,112,23,32,18,38,44,82,25,29,60,39,33,100,22,19,44,30,25,27,76,25,25,15,59,105,82,15,30,32,28,70,93,50,44,99,298,126,52,154,25,45,33,64,69,214,92,113,91,53,35,312,14,80,50,33,38,17,40,112,77,98,40,39,144,27,70,37,216,26,60,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanobacillus,0,0,0,0,0,3,12,0,16,2,0,0,0,0,4,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,34,20,27,24,29,32,65,69,26,48,32,77,51,48,23,20,19,23,24,58,16,19,39,22,26,52,32,28,46,20,19,40,72,12,4,19,19,60,27,11,21,28,27,24,21,34,7,35,61,61,27,64,15,18,9,32,39,80,19,14,68,42,43,66,20,28,49,83,13,24,30,21,48,76,38,25,179,32,85,70,57,22,42,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium,91,2,11,5,0,0,15,9,0,0,13,0,0,102,63,42,0,0,7,0,6,0,4,0,0,1,8,10,2,0,0,0,0,0,0,13,0,0,0,3893,12,62,166,128,124,91,145,123,177,268,84,234,222,74,186,222,102,72,48,84,184,179,50,57,112,88,73,205,45,49,97,60,62,97,143,54,46,35,126,205,206,36,70,90,80,156,178,99,104,193,461,220,99,327,54,85,83,140,144,430,620,230,221,125,64,432,60,421,144,90,97,82,126,239,154,193,90,77,336,69,195,119,385,79,170,256,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saccharopolyspora,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,41,35,23,45,37,51,77,16,63,64,24,60,65,16,18,7,25,39,62,15,17,36,23,22,56,14,13,31,18,16,17,39,17,16,10,42,66,49,10,20,23,17,42,54,34,25,68,190,56,30,93,16,30,24,40,45,132,44,75,57,32,19,194,9,68,29,23,27,13,16,92,41,61,29,21,92,22,43,25,127,14,34,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,173,160,141,96,171,133,206,306,62,235,270,94,209,268,73,74,42,103,125,209,64,70,132,96,79,219,47,53,113,68,64,64,149,65,60,36,156,257,197,38,73,87,66,179,214,120,106,259,732,211,118,357,62,119,84,157,176,505,162,272,233,130,76,689,41,247,112,90,107,42,75,344,174,222,115,75,338,86,159,89,500,73,143,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,30665,1175,28371,307041,475,471,7994,22064,10218,1187,12508,8621,1019,7666,14599,6531,845,8044,39531,2411,49,1066,11101,20101,14009,3850,15923,25868,3838,8978,9756,11038,18236,7992,1968,4229,1418,70,154606,238386,19191,4769,24606,7847,6659,5286,1965,2710,59211,8555,1105,14082,28794,8289,10308,50312,1404,4675,1382,1331,54457,30247,544,5193,1780,15210,1155,18636,6671,1909,3839,2216,3443,3839,27801,797,875,2344,6551,12145,171409,8380,4503,8813,2598,1507,14960,11015,6229,13095,10168,13076,13704,22148,2899,5865,2728,7808,28178,17594,2520,22944,7108,11151,2042,77341,10486,26682,52020,5812,11033,10616,22003,12189,10407,11265,16121,8044,5761,1213,9091,9913,34564,2492,9759,155375,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,22,0,0,5,4,2,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,2,11,11,0,0,0,0,0,0,3,2,5,3,0,0,0,0,0,2,0,0,0,0,0,5,0,3,4,0,0,2,2,3,4,0,0,5,0,5,0,11,0,13,73,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Gardnerella,0,0,0,0,0,0,0,0,25,0,13,0,0,8,0,4,0,0,0,5,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,5,0,6,0,0,73,307,238,78,45,58,80,150,124,191,93,153,49,92,140,54,40,56,46,100,105,36,38,45,59,90,136,40,37,60,68,35,73,98,34,14,37,50,160,152,24,24,69,101,50,58,65,29,68,151,146,59,71,34,36,60,68,97,150,228,956,107,58,34,104,64,96,98,76,41,68,91,76,79,180,75,40,87,57,87,76,138,77,97,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parascardovia,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,16,0,0,11,21,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,52,129,99,81,56,85,110,121,169,52,154,172,63,134,214,60,55,25,56,60,109,42,40,84,50,46,164,30,33,60,70,48,38,141,38,39,26,65,157,118,23,45,56,38,86,121,56,45,161,271,121,91,183,35,65,116,73,96,266,172,169,214,87,41,262,99,160,91,118,93,37,32,133,116,121,66,58,188,47,114,74,223,35,80,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scardovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,94,43,27,34,53,94,70,28,49,40,26,54,86,23,24,18,27,36,56,18,23,28,17,28,73,13,17,28,31,19,30,63,21,8,12,30,54,32,11,16,31,21,45,21,31,20,41,81,40,26,48,19,22,36,35,46,80,28,31,64,42,12,69,25,55,36,39,29,40,40,45,46,48,53,21,39,21,52,40,76,32,45,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium,265,17,0,31,16,14,42,0,28,6,22,8,0,19,39,0,6,12,0,9,5,4,0,9,0,4,13,0,0,9,13,0,21,0,0,3,9,0,0,22,15,191,306,405,332,297,311,376,617,724,242,502,409,229,445,600,241,168,279,192,439,541,151,147,291,201,199,544,112,143,325,214,153,301,532,138,84,104,216,653,433,83,121,253,283,292,251,241,250,450,751,507,349,399,135,200,173,333,342,816,352,774,613,307,227,581,249,661,372,398,243,403,739,389,406,586,298,336,617,244,424,346,719,226,391,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
